GPS time,SatPRN,Sat_x,Sat_y,Sat_z,Pr,cn0,DopplerShiftHz
2133.337626188004,G04,3410986.7856762093,18834442.304758653,18375928.89547028,21761725.634329412,33.9,-1340.700090593904
2133.3406671870034,G09,13370265.980354125,7305338.346913893,21675664.332195744,20800539.22066005,32.8,471.1499901200463
2133.3297842290194,G11,14756323.252803404,-12169800.39386651,18429073.290482685,23806385.5769856,32.2,1193.8500075907327
2133.333470965008,G16,-3375577.752657065,19898135.411563132,16694177.925089328,22811715.45572636,31.3,-952.9000194850997
2133.325036293012,G20,6090523.423065237,-15521540.957883444,20767801.389303055,25540978.87688122,32.2,3543.1499986104245
2134.337625346001,G04,3409638.659094196,18836352.821112003,18374206.15059632,21761978.062976222,36.4,-1342.1627539210458
2134.3392754700035,G07,24232584.605790686,6755499.225716638,9734961.898832342,21120821.829137918,19.6,1022.4999730696502
2134.340667507,G09,13368958.22110945,7307782.861381982,21675641.924805507,20800443.292314254,33.1,468.80003437217727
2134.329785019014,G11,14758651.632680433,-12169565.425516913,18427356.863485787,23806148.739835676,38.5,1191.493516726304
2134.3334703650034,G16,-3376718.9099894315,19896240.67700868,16696209.48030253,22811895.335535992,32.0,-951.6500080489499
2134.3250385190186,G20,6092291.826173216,-15519603.381731138,20768718.80727109,25540311.536520317,32.1,3544.100036168671
2135.3376244800165,G04,3408290.756558165,18838263.23231771,18372483.013686698,21762237.681112748,32.4,-1346.550102418637
2135.3406678230094,G09,13367650.603017885,7310227.448827425,21675619.052875474,20800348.55930837,32.8,463.3000321644047
2135.329785752023,G11,14760979.811258115,-12169330.602620669,18425640.04457782,23805928.986448914,39.9,1186.7717145947286
2135.3334697310056,G16,-3377860.2866839943,19894345.77344156,16698240.66503289,22812085.40627278,32.5,-959.4500505437535
2135.3250407580053,G20,6094060.41575971,-15517665.818603529,20769635.787032623,25539640.304760862,30.4,3538.8501324707036
2136.3376236270124,G04,3406943.0780244768,18840173.538382627,18370759.484714042,21762493.407850713,31.8,-1348.9999291809215
2136.340668095014,G09,13366343.126163332,7312672.109092325,21675595.716406893,20800267.018667098,32.6,459.05000130004254
2136.329786510003,G11,14763307.788668843,-12169095.925132697,18423922.83365433,23805701.746918745,40.8,1185.3242063231667
2136.3334691320197,G16,-3379001.8828249155,19892450.700795118,16700271.479375651,22812264.980703603,32.3,-961.0499914113846
2136.3250430560147,G20,6095829.191876164,-15515728.268468834,20770552.328610018,25538951.378480617,27.7,3539.700098550836
2138.3376218370104,G04,3404248.393154394,18843993.83460033,18367311.250936814,21763030.041990843,31.6,-1366.6000003941772
2138.334886636003,G06,24549697.45138575,-5587617.150942832,8694756.410083089,22557353.903860044,19.0,-1065.650024651698
2138.3406685980153,G09,13363728.596172426,7317561.648062856,21675547.64985321,20800116.231062952,30.8,438.14997687341094
2138.329788005998,G11,14767963.139534183,-12168627.006300982,18420487.23606901,23805253.25328309,40.3,1163.4000529554542
2138.333468019002,G16,-3381285.7334447065,19888660.048558712,16704331.99667775,22812598.660972457,30.1,-980.9000671726145
2138.325047553022,G20,6099367.303090925,-15511853.207942802,20772384.096880253,25537603.208740503,28.6,3511.0501475539368
2139.3352013730037,G03,12433713.437090369,23496375.483772874,-1721286.4596556881,22489067.927335687,18.8,-2217.7500638630636
2139.3376210970164,G04,3402901.386564877,18845903.82500192,18365586.545865145,21763251.889131065,32.5,-1352.4501499824266
2139.3406689700205,G09,13362421.54291485,7320006.526993102,21675522.919765227,20800004.710947607,30.2,459.70002488764595
2139.329788763018,G11,14770290.51291605,-12168392.764901197,18418768.849447142,23805026.30168151,40.5,1179.3020362744674
2139.333467272023,G16,-3382427.9876683103,19886764.469538547,16706361.699074436,22812822.60258188,31.5,-966.5499936191571
